pattern_name,pattern,tool,iteration,wall_time_ms,match_count
literal_common,fn,rg,0,10.82,205
literal_common,fn,fastgrep,0,72.53,205
literal_common,fn,rg,1,11.26,205
literal_common,fn,fastgrep,1,69.91,205
literal_common,fn,rg,2,11.39,205
literal_common,fn,fastgrep,2,75.33,205
literal_common,fn,rg,3,10.97,205
literal_common,fn,fastgrep,3,74.75,205
literal_common,fn,rg,4,11.77,205
literal_common,fn,fastgrep,4,75.84,205
literal_rare,SPDX-License-Identifier,rg,0,11.18,13
literal_rare,SPDX-License-Identifier,fastgrep,0,64.56,13
literal_rare,SPDX-License-Identifier,rg,1,11.18,13
literal_rare,SPDX-License-Identifier,fastgrep,1,68.23,13
literal_rare,SPDX-License-Identifier,rg,2,11.06,13
literal_rare,SPDX-License-Identifier,fastgrep,2,74.59,13
literal_rare,SPDX-License-Identifier,rg,3,11.12,13
literal_rare,SPDX-License-Identifier,fastgrep,3,65.29,13
literal_rare,SPDX-License-Identifier,rg,4,11.38,13
literal_rare,SPDX-License-Identifier,fastgrep,4,67.26,13
literal_medium,HashMap,rg,0,11.02,41
literal_medium,HashMap,fastgrep,0,69.05,41
literal_medium,HashMap,rg,1,10.42,41
literal_medium,HashMap,fastgrep,1,67.38,41
literal_medium,HashMap,rg,2,11.11,41
literal_medium,HashMap,fastgrep,2,76.88,41
literal_medium,HashMap,rg,3,10.76,41
literal_medium,HashMap,fastgrep,3,62.84,41
literal_medium,HashMap,rg,4,11.49,41
literal_medium,HashMap,fastgrep,4,65.94,41
literal_pub_fn,pub fn new,rg,0,12.34,18
literal_pub_fn,pub fn new,fastgrep,0,62.52,18
literal_pub_fn,pub fn new,rg,1,11.12,18
literal_pub_fn,pub fn new,fastgrep,1,70.22,18
literal_pub_fn,pub fn new,rg,2,11.06,18
literal_pub_fn,pub fn new,fastgrep,2,67.42,18
literal_pub_fn,pub fn new,rg,3,11.44,18
literal_pub_fn,pub fn new,fastgrep,3,67.62,18
literal_pub_fn,pub fn new,rg,4,10.79,18
literal_pub_fn,pub fn new,fastgrep,4,68.58,18
regex_fn_decl,fn\s+\w+\s*\(,rg,0,20.80,118
regex_fn_decl,fn\s+\w+\s*\(,fastgrep,0,74.52,118
regex_fn_decl,fn\s+\w+\s*\(,rg,1,18.78,118
regex_fn_decl,fn\s+\w+\s*\(,fastgrep,1,78.78,118
regex_fn_decl,fn\s+\w+\s*\(,rg,2,19.10,118
regex_fn_decl,fn\s+\w+\s*\(,fastgrep,2,71.71,118
regex_fn_decl,fn\s+\w+\s*\(,rg,3,19.10,118
regex_fn_decl,fn\s+\w+\s*\(,fastgrep,3,72.16,118
regex_fn_decl,fn\s+\w+\s*\(,rg,4,18.11,118
regex_fn_decl,fn\s+\w+\s*\(,fastgrep,4,76.83,118
regex_use_stmt,use\s+\w+::\w+,rg,0,18.62,88
regex_use_stmt,use\s+\w+::\w+,fastgrep,0,71.80,88
regex_use_stmt,use\s+\w+::\w+,rg,1,17.52,88
regex_use_stmt,use\s+\w+::\w+,fastgrep,1,71.08,88
regex_use_stmt,use\s+\w+::\w+,rg,2,17.72,88
regex_use_stmt,use\s+\w+::\w+,fastgrep,2,73.32,88
regex_use_stmt,use\s+\w+::\w+,rg,3,17.93,88
regex_use_stmt,use\s+\w+::\w+,fastgrep,3,67.02,88
regex_use_stmt,use\s+\w+::\w+,rg,4,18.34,88
regex_use_stmt,use\s+\w+::\w+,fastgrep,4,66.53,88
regex_impl_trait,impl\s+\w+\s+for\s+\w+,rg,0,15.36,2
regex_impl_trait,impl\s+\w+\s+for\s+\w+,fastgrep,0,69.82,2
regex_impl_trait,impl\s+\w+\s+for\s+\w+,rg,1,16.13,2
regex_impl_trait,impl\s+\w+\s+for\s+\w+,fastgrep,1,65.07,2
regex_impl_trait,impl\s+\w+\s+for\s+\w+,rg,2,16.48,2
regex_impl_trait,impl\s+\w+\s+for\s+\w+,fastgrep,2,64.57,2
regex_impl_trait,impl\s+\w+\s+for\s+\w+,rg,3,15.68,2
regex_impl_trait,impl\s+\w+\s+for\s+\w+,fastgrep,3,69.34,2
regex_impl_trait,impl\s+\w+\s+for\s+\w+,rg,4,16.64,2
regex_impl_trait,impl\s+\w+\s+for\s+\w+,fastgrep,4,69.37,2
regex_todo,(TODO|FIXME|HACK)\b,rg,0,10.99,29
regex_todo,(TODO|FIXME|HACK)\b,fastgrep,0,71.59,29
regex_todo,(TODO|FIXME|HACK)\b,rg,1,12.36,29
regex_todo,(TODO|FIXME|HACK)\b,fastgrep,1,75.32,29
regex_todo,(TODO|FIXME|HACK)\b,rg,2,10.92,29
regex_todo,(TODO|FIXME|HACK)\b,fastgrep,2,74.11,29
regex_todo,(TODO|FIXME|HACK)\b,rg,3,11.62,29
regex_todo,(TODO|FIXME|HACK)\b,fastgrep,3,72.98,29
regex_todo,(TODO|FIXME|HACK)\b,rg,4,12.18,29
regex_todo,(TODO|FIXME|HACK)\b,fastgrep,4,75.42,29
regex_dot_star,.*,rg,0,13.50,16707
regex_dot_star,.*,fastgrep,0,102.53,16707
regex_dot_star,.*,rg,1,14.36,16707
regex_dot_star,.*,fastgrep,1,105.12,16707
regex_dot_star,.*,rg,2,13.98,16707
regex_dot_star,.*,fastgrep,2,99.83,16707
regex_dot_star,.*,rg,3,13.89,16707
regex_dot_star,.*,fastgrep,3,103.34,16707
regex_dot_star,.*,rg,4,13.61,16707
regex_dot_star,.*,fastgrep,4,120.69,16707
