pattern_name,pattern,tool,iteration,wall_time_ms,match_count
literal_common,fn,rg,0,167.15,24353
literal_common,fn,fastgrep,0,172.83,326
literal_common,fn,rg,1,172.07,24353
literal_common,fn,fastgrep,1,174.54,326
literal_common,fn,rg,2,163.76,24353
literal_common,fn,fastgrep,2,171.18,326
literal_common,fn,rg,3,163.10,24353
literal_common,fn,fastgrep,3,173.91,326
literal_common,fn,rg,4,171.05,24353
literal_common,fn,fastgrep,4,175.86,326
literal_rare,SPDX-License-Identifier,rg,0,184.36,7
literal_rare,SPDX-License-Identifier,fastgrep,0,50.28,7
literal_rare,SPDX-License-Identifier,rg,1,175.81,7
literal_rare,SPDX-License-Identifier,fastgrep,1,50.31,7
literal_rare,SPDX-License-Identifier,rg,2,175.56,7
literal_rare,SPDX-License-Identifier,fastgrep,2,49.83,7
literal_rare,SPDX-License-Identifier,rg,3,173.17,7
literal_rare,SPDX-License-Identifier,fastgrep,3,49.68,7
literal_rare,SPDX-License-Identifier,rg,4,179.96,7
literal_rare,SPDX-License-Identifier,fastgrep,4,49.75,7
literal_medium,HashMap,rg,0,177.60,27
literal_medium,HashMap,fastgrep,0,47.15,0
literal_medium,HashMap,rg,1,173.90,27
literal_medium,HashMap,fastgrep,1,47.44,0
literal_medium,HashMap,rg,2,180.44,27
literal_medium,HashMap,fastgrep,2,47.06,0
literal_medium,HashMap,rg,3,172.50,27
literal_medium,HashMap,fastgrep,3,46.42,0
literal_medium,HashMap,rg,4,166.92,27
literal_medium,HashMap,fastgrep,4,47.42,0
literal_pub_fn,pub fn new,rg,0,173.54,0
literal_pub_fn,pub fn new,fastgrep,0,47.39,0
literal_pub_fn,pub fn new,rg,1,181.34,0
literal_pub_fn,pub fn new,fastgrep,1,48.04,0
literal_pub_fn,pub fn new,rg,2,181.35,0
literal_pub_fn,pub fn new,fastgrep,2,48.61,0
literal_pub_fn,pub fn new,rg,3,182.47,0
literal_pub_fn,pub fn new,fastgrep,3,47.42,0
literal_pub_fn,pub fn new,rg,4,173.02,0
literal_pub_fn,pub fn new,fastgrep,4,47.67,0
regex_fn_decl,fn\s+\w+\s*\(,rg,0,179.01,14
regex_fn_decl,fn\s+\w+\s*\(,fastgrep,0,175.76,14
regex_fn_decl,fn\s+\w+\s*\(,rg,1,173.64,14
regex_fn_decl,fn\s+\w+\s*\(,fastgrep,1,177.36,14
regex_fn_decl,fn\s+\w+\s*\(,rg,2,174.59,14
regex_fn_decl,fn\s+\w+\s*\(,fastgrep,2,178.53,14
regex_fn_decl,fn\s+\w+\s*\(,rg,3,186.11,14
regex_fn_decl,fn\s+\w+\s*\(,fastgrep,3,177.32,14
regex_fn_decl,fn\s+\w+\s*\(,rg,4,176.35,14
regex_fn_decl,fn\s+\w+\s*\(,fastgrep,4,176.14,14
regex_use_stmt,use\s+\w+::\w+,rg,0,171.71,0
regex_use_stmt,use\s+\w+::\w+,fastgrep,0,115.55,0
regex_use_stmt,use\s+\w+::\w+,rg,1,176.40,0
regex_use_stmt,use\s+\w+::\w+,fastgrep,1,115.15,0
regex_use_stmt,use\s+\w+::\w+,rg,2,172.58,0
regex_use_stmt,use\s+\w+::\w+,fastgrep,2,114.58,0
regex_use_stmt,use\s+\w+::\w+,rg,3,175.78,0
regex_use_stmt,use\s+\w+::\w+,fastgrep,3,114.38,0
regex_use_stmt,use\s+\w+::\w+,rg,4,175.67,0
regex_use_stmt,use\s+\w+::\w+,fastgrep,4,113.84,0
regex_impl_trait,impl\s+\w+\s+for\s+\w+,rg,0,181.13,0
regex_impl_trait,impl\s+\w+\s+for\s+\w+,fastgrep,0,78.83,0
regex_impl_trait,impl\s+\w+\s+for\s+\w+,rg,1,184.75,0
regex_impl_trait,impl\s+\w+\s+for\s+\w+,fastgrep,1,79.35,0
regex_impl_trait,impl\s+\w+\s+for\s+\w+,rg,2,178.63,0
regex_impl_trait,impl\s+\w+\s+for\s+\w+,fastgrep,2,79.62,0
regex_impl_trait,impl\s+\w+\s+for\s+\w+,rg,3,170.78,0
regex_impl_trait,impl\s+\w+\s+for\s+\w+,fastgrep,3,79.01,0
regex_impl_trait,impl\s+\w+\s+for\s+\w+,rg,4,180.10,0
regex_impl_trait,impl\s+\w+\s+for\s+\w+,fastgrep,4,79.17,0
regex_todo,(TODO|FIXME|HACK)\b,rg,0,245.76,102
regex_todo,(TODO|FIXME|HACK)\b,fastgrep,0,180.19,66
regex_todo,(TODO|FIXME|HACK)\b,rg,1,254.76,102
regex_todo,(TODO|FIXME|HACK)\b,fastgrep,1,180.62,66
regex_todo,(TODO|FIXME|HACK)\b,rg,2,252.61,102
regex_todo,(TODO|FIXME|HACK)\b,fastgrep,2,179.66,66
regex_todo,(TODO|FIXME|HACK)\b,rg,3,242.97,102
regex_todo,(TODO|FIXME|HACK)\b,fastgrep,3,180.27,66
regex_todo,(TODO|FIXME|HACK)\b,rg,4,251.74,102
regex_todo,(TODO|FIXME|HACK)\b,fastgrep,4,186.71,66
regex_dot_star,.*,rg,0,4285.17,27221124
regex_dot_star,.*,fastgrep,0,1149.68,777588
regex_dot_star,.*,rg,1,4542.56,27221124
regex_dot_star,.*,fastgrep,1,1162.89,777588
regex_dot_star,.*,rg,2,4250.64,27221124
regex_dot_star,.*,fastgrep,2,1170.56,777588
regex_dot_star,.*,rg,3,4296.20,27221124
regex_dot_star,.*,fastgrep,3,1146.73,777588
regex_dot_star,.*,rg,4,4624.07,27221124
regex_dot_star,.*,fastgrep,4,1175.57,777588
